Gattung,genre,Nummer,Project/Object_URI,Haltende_Einrichtung_1,Org_GND_1,OrgURI_1,Haltende_Einrichtung_2,Org_GND_2,OrgURI_2,Links,Signatur,Inventarnummer,id_type,id,Jahr,Jahr_1,Jahr_2,Jahr_3,Jahr_4,Jahr_5,Jahr_eindeutig,Date_Start_1,Date_End_1,Entstehungsdatum,Person_Name_1,Person_GND_1,Person_Rolle_1,Person_1_URI,crmP14CarriedOutBy_1,role_1,production1,activity1,Person_Name_2,Person_GND_2,Person_Rolle_2,Person_2_URI,crmPC14CarriedOutBy_2,role_2,production2,activity2,Person_Name_3,Person_GND_3,Person_Rolle_3,Person_3_URI,crmPC14CarriedOutBy_3,role_3,production3,activity3,Person_Name_4,Person_GND_4,Person_Rolle_4,Person_4_URI,crmPC14CarriedOutBy_4,role_4,production4,activity4,Titel,Ort_Name_1,Ort_Name_2,Getty_URI_2,Ort_Getty_ID,Getty_URI,Verlag,Beschreibung,Höhe,Breite,Tiefe,Format,Umfang,Technik_1,Technik_2,Material,Material_2,Material_3,Objekttyp,type,Schlagwörter_1,KeywordURI_8,KeywordURI_7,KeywordURI_6,KeywordURI_5,KeywordURI_4,KeywordURI_3,KeywordURI_2,KeywordURI_1,Schlagwörter_2,Schlagwörter_3,Schlagwörter_4,Schlagwörter_5,Schlagwörter_6,Schlagwörter_7,Schlagwörter_8,Provenienz_1,Provenienz_2,Provenienz_3,Note_to_Provenienz_3,Werktitel_7,Werktitel_6,Werktitel_5,Werktitel_4,Werktitel_3,Werktitel_2,Werktitel_1,Werktitel_GND_1,Werktitel_GND_2,Werktitel_GND_3,Werktitel_GND_4,Werktitel_GND_5,Werktitel_GND_6,Werktitel_GND_7,Beziehung_1,Beziehung_2,Beziehung_3,Beziehung_4,Beziehung_5,Beziehung_6,Beziehung_7,Beziehung_Objekt_1,Beziehung_Objekt_2,Beziehung_Objekt_3,Beziehung_Objekt_4,Beziehung_Objekt_5,Beziehung_Objekt_6,Beziehung_Objekt_7,Beziehung_Objekt_8,Beziehung_Objekt_9,Beziehung_Objekt_10,Beziehung_Objekt_11,Beziehung_Objekt_12,Objekt_Freitext_1,Objekt_Freitext_2,Objekt_Freitext_3,Objekt_Freitext_4,Objekt_Freitext_5,Objekt_Freitext_6,Objekt_Freitext_7,Objekt_Freitext_8,Objekt_Freitext_9,Objekt_Freitext_10,Objekt_Freitext_11,Objekt_Freitext_12,Titel_Sammlung_1,Sammlung,Titel_Sammlung_2,Sammlungsnormdatensatz_GND_1,Sammlung_GND,Sammlungsnormdatensatz_GND_2,Kommentar,Goethe_Ausgaben_1,Goethe_Ausgaben_2,Goethe_Ausgaben_3,Goethe_Ausgaben_4,Erwähnung_Brief_1,Erwähnung_Brief_2,Erwähnung_Brief_3,Erwähnung_Brief_4,Link_Brief_1,Link_Brief_2,Link_Brief_3,Erwähnung_Tagebuch_1,Erwähnung_Tagebuch_2,Erwähnung_Tagebuch_3,Erwähnung_Tagebuch_4,Erwähnung_Tagebuch_5,Erwähnung_Tagebuch_6,Erwähnung_Tagebuch_7,Erwähnung_Tagebuch_8,Erwähnung_Tagebuch_9,Erwähnung_Tagebuch_10,Tagebuch_11,Tagebuch_12,Link_Tagebuch,Literatur_Bezeichnung_1,Literatur_Bezeichnung_2,Literatur_Bezeichnung_3,Literatur_Bezeichnung_4,Literatur_Bezeichnung_5,Literatur_Link_K10plus
Handschrift,manuscript,Handschrift07,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-handschrift07,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe- und Schiller-Archiv,2012525-2,d-nb.info/gnd/2012525-2,ores.klassik-stiftung.de/ords/f?p=405:2:::::P2_ID:2143308,GSA 25/W 62 S 70b,,Signatur,GSA25W62S70b,1790,1790,,,,,1790,,,18.06.90,"Goethe, Johann Wolfgang von",118540238,Autor*in,d-nb.info/gnd/118540238,id/manuscript/actor/gnd_118540238/Author,author,/id/manuscript/GSA25W62S70b/production,,"Schiller, Friedrich",118607626,Herausgeber*in,d-nb.info/gnd/118607626,id/manuscript/actor/gnd_118607626/Editor,editor,/id/manuscript/GSA25W62S70b/production,,"Newton, Isaac",118587544,Erwähnte Person,d-nb.info/gnd/118587544,id/manuscript/actor/gnd_118587544/Associated_person,associated_person,,,,,,,,,,,"Weiß hat Newton gemacht (Venezianische Epigramme, Nr. 78)",Venedig,,,7018159,http://vocab.getty.edu/page/tgn/7018159,,,,,,,1 Blatt,Tinte auf Papier,,,,,Manuskript,manuscript,Lyrik,,,,,/id/subject/PhysischeFarben,/id/subject/NewtonTheorie,/id/subject/Optik,/id/subject/Lyrik,Optik,Newton (Theorie),Physische Farben,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Zweyter, polemischer Theil. Enthüllung der Theorie Newtons",Zur Farbenlehre,4193539-1,1214404049,,,,,,ist vorbereitend für,ist vorbereitend für,,,,,,ist reproduziert in,hat Bezug zu,,,,,,,,,,,Buch12,Buch01,,,,,,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"Polemisches Kurzgedicht (Epigram) gegen Isaac Newton, Teil des Gedichtzyklus ""Venezianische Epigramme"", den Goethe im Umfeld seiner Venedigreise mit der Weimarer Herzogin Anna Amalia 1790 schrieb. Das Gedicht wurde zuerst in der von Friedrich Schiller herausgegebenen Zeitschrift ""Die Horen"" veröffentlicht.","WA I, Bd. 1, S. 325","FA I, Bd. 1, S. 459","MA, Bd. 3.1, S. 142",,,,,,,,,,,,,,,,,,,,,,,,,,,
Buch,book,Buch04a,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-buch04a,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,lhwei.gbv.de/DB=2/XMLPRS=N/PPN?PPN=146016610,Ruppert 5037 (1),,Signatur,Ruppert5037_1,1810,1810,,,,,1810,,,,"Runge, Philipp Otto",118604155,Autor*in,d-nb.info/gnd/118604155,id/book/actor/gnd_118604155/Author,author,/id/book/Ruppert5037_1/production,,"Steffens, Henrik",118617109,Autor*in,d-nb.info/gnd/118617109,id/book/actor/gnd_118617109/Author,author,/id/book/Ruppert5037(1)/production,,"Steffens,",118617109,Einsender*in,d-nb.info/gnd/118617109,id/book/actor/gnd_118617109/Einsender,einsender,,id/book/Ruppert5037_1/sending,"Henrik,",,,vsr.mww-forschung.de/id/person/uuid_196a313c-b994-43bc-917a-9e52cd5abf1b,,,,,"Farben-Kugel oder Construction des Verhältnisses aller Mischungen der Farben zu einander, und ihrer vollständigen Affinität : mit angehängtem Versuch einer Ableitung der Harmonie in den Zusammenstellungen der Farben; Mit einem Kupfer, und einer beygelegten Farbentafel; Von Philipp Otto Runge, Mahler ; Nebst einer Abhandlung Über die Bedeutung der Farben in der Natur, von Hrn. Prof. Henrik Steffens in Halle [Textband]",Hamburg,,,7005289,http://vocab.getty.edu/page/tgn/7005289,Perthes,,,,,8°,"[2] Bl., 60 S.",Buchdruck,,,,,Buch,book,Didaktischer Teil,,,,,,,,/id/subject/DidaktischerTeil,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre",1214404014,,,,,,,ist reproduziert in,,,,,,,erwähnt in,erwähnt in,erwähnt in,erwähnt in,erwähnt in,,,,,,,,Handschrift04,Buch04b,Handschrift19,Handschrift24,Handschrift25,,,,,,,,Sammlung Privatbibliothek Johann Wolfgang von Goethe,Sammlung Privatbibliothek Johann Wolfgang von Goethe,,1207174386,1207174386,,"Runges Buch ist ein von Goethe geschätzter Entwurf einer Farbentheorie aus der malerischen Praxis, in der er deutliche Äbereinstimmungen mit seinen Ansätzen sah. Goethes Äußerungen sind - als ""Zugabe"" nur in den ab 1810 gedruckten Exemplaren des ersten Bandes von ""Zur Farbenlehre"" enthalten; die angehängte Abhandlung zu den Farben in der Natur stammt vom mit Runge befreundeten Naturphilosophen Henrik Steffens. Goethe nutzte zwei Exemplare des Buches: Eines, das er am 3. Oktober 1809 von Steffens zugesandt bekam, und ein weiteres, das er vom 21. März bis zum 12. Mai 1810 aus der herzoglichen Bibliothek entlieh.",,,,,,,,,,,,,,,,,,,,,,,,,"Mackensen, Ludolf von. ""Runges Farbenkugel und Goethes Farbenlehre."" Kosmos Runge - die Nachtseite der Dinge: Philipp Otto Runges Sehnsucht nach neuen Horizonten und die Gegenwart. Borchen: Möllmann, 2011 S. 240-26"," Rehm, Robin. ""'Beweglichkeit der Farbe': Goethes Foliotafel der 'Beyträge zur Optik' und die harmonischen Farbkombinationen Philipp Otto Runges von 1810."" ""Ein Unendliches in Bewegung"": Künste und Wissenschaften im medialen Wechselspiel bei Goethe. Hrsg. Barbara Naumann und Margrit Wyder. Bielefeld: Aisthesis, 2012. S. 221-244.",,,,"kxp.k10plus.de/DB=2.1/PPNSET?PPN=664891403, kxp.k10plus.de/DB=2.1/PPNSET?PPN=513892702"
Objekt,object,Objekt42,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt42,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 205,Inventarnummer,GFz205,1806/10,1806/10,,,,,1806/10,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz205/production,,Unbekannt,,Kupferstecher*in,vsr.mww-forschung.de/id/person/uuid_4f67f381-8cf4-4c14-ba7a-af2f4b944fe2,id/graphic/actor/uuid_4f67f381-8cf4-4c14-ba7a-af2f4b944fe2/Engraver,engraver,/id/graphic/GFz205/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel XIV, Wasserprisma [falsche Nummerierung]",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,"'Zur Farbenlehre', Tafel XIV, Wasserprisma [falsche Nummerierung, richtig: XVI]","17,7 cm","10,6 cm",,,,"Kupferstich, radiert",,"Papier, weiß, homogen bis wolkig",,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel XVI",1214403727,1214404014,,,,,,ist Version von,hat Bezug zu,,,,,,basiert auf,ist Version von,,,,,,,,,,,Objekt04,Objekt05,,,,,,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"'Zur Farbenlehre', Tafel XIV, Wasserprisma; falsch nummeriert in der Museumsdatenbank, korrekt ist ""XVI""; Mitte oben ""XII"" ergänzt, Handschrift Goethes.  Zu sehen ist ein großes Wasserprisma, wie es Goethe für seine Experimente benutzte. Da man massive Prismen von dieser Größe noch nicht anfertigen konnte, behalf sich Goethe mit einer solchen Konstruktion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt41,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt41,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 289,Inventarnummer,GFz289,1810 oder 1821 oder 1824 oder 1825,1810,1821,1824,1825,,1810 oder 1821 oder 1824 oder 1825,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz289/production,,"Müller, Johann Christian Ernst",117592579,Kupferstecher*in,d-nb.info/gnd/117592579,id/graphic/actor/gnd_117592579/Engraver,engraver,/id/graphic/GFz289/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, gut kolorierter Abzug",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"29,4 cm","22,4 cm",,,,"Aquatintaradierung, aquarelliert und grau laviert",,"starkes Papier, weiß, gerippt",,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,,,,,,ist Version von,hat Bezug zu,,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,,,,,,Objekt35,Objekt36,Objekt37,Objekt38,Objekt39,Objekt40,Objekt34,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"Kolorierter Abzug für Tafel X im Tafelband von ""Zur Farbenlehre""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt40,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt40,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 288,Inventarnummer,GFz288,1810,1810,,,,,1810,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz288/production,,"Müller, Johann Christian Ernst",117592579,Kupferstecher*in,d-nb.info/gnd/117592579,id/graphic/actor/gnd_117592579/Engraver,engraver,/id/graphic/GFz288/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, vollständig kolorierter Abzug",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"20,6 cm","16,7 cm",,,,"Aquatintaradierung, aquarelliert und grau laviert",,"starkes Papier, weiß, gerippt",,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,,,,,,ist Version von,hat Bezug zu,hat Bezug zu,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,,,,,,Objekt35,Objekt36,Objekt37,Objekt38,Objekt39,Objekt41,Objekt34,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"Dies ist sehr wahrscheinlich ein Probedruck für Tafel X im Tafelband von ""Zur Farbenlehre"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt39,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt39,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 287,Inventarnummer,GFz287,1810 oder 1818 oder 1821 oder 1824 oder 1825,1810,1818,1821,1824,1825,,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz287/production,,"Müller, Johann Christian Ernst",117592579,Künstler*in,d-nb.info/gnd/117592579,id/graphic/actor/gnd_117592579/Artist,artist,/id/graphic/GFz287/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, unkolorierter Abzug",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"27,0 cm","22,1 cm",,,,Aquatintaradierung,,"starkes Papier, weiß, gerippt",,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,,,,,,ist Version von,hat Bezug zu,,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,,,,,,Objekt35,Objekt36,Objekt37,Objekt38,Objekt40,Objekt41,Objekt34,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"Unkolorierter Probeabzug zu Tafel X im Tafelband von ""Zur Farbenlehre""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt38,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt38,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 286,Inventarnummer,GFz286,1806/10,1806/10,,,,,1806/10,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz286/production,,,,,,,,,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, Abzug ohne Tafelnummer",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"24,3 cm","20,2 cm",,,,Aquatintaradierung,,"Papier, weiß, gerippt",,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,,,,,,ist Version von,hat Bezug zu,,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,,,,,,Objekt35,Objekt36,Objekt37,Objekt39,Objekt40,Objekt41,Objekt34,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"'Zur Farbenlehre', Tafel X, Abzug ohne Tafelnummer, unkoloriert; Nummerierung handschriftlich von Goethe ergänzt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt37,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt37,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 285,Inventarnummer,GFz285,1806/10,1806/10,,,,,1806/10,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz285/production,,"Müller, Johann Christian Ernst",117592579,Kupferstecher*in,d-nb.info/gnd/117592579,id/graphic/actor/gnd_117592579/Engraver,engraver,/id/graphic/GFz285/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, Abzug ohne Tafelnummer",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"21,0 cm","16,6 cm",,,,Bleistift,,,,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,,,,,,ist Version von,hat Bezug zu,,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,,,,,,Objekt35,Objekt36,Objekt38,Objekt39,Objekt40,Objekt41,Objekt34,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"'Zur Farbenlehre', Tafel X, früher Abzug ohne Tafelnummer; die Tafelnummer ist handschriftlich in Bleistift von Goethe ergänzt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt36,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt36,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 284,Inventarnummer,GFz284,1810 oder 1818 oder 1821 oder 1824 oder 1825,1810,1818,1821,1824,1825,,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz284/production,,"Müller, Johann Christian Ernst",117592579,Kupferstecher*in,d-nb.info/gnd/117592579,id/graphic/actor/gnd_117592579/Engraver,engraver,/id/graphic/GFz284/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, gut kolorierter Abzug",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"27,0 cm","22,8 cm",,,,"Aquatintaradierung, aquarelliert und grau laviert",,"starkes Papier, weiß, leicht wolkig",,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,1214404014,,,,,ist Version von,hat Bezug zu,hat Bezug zu,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,hat Bezug zu,hat Bezug zu,hat Bezug zu,,,Objekt35,Objekt37,Objekt38,Objekt39,Objekt40,Objekt41,Objekt34,Objekt30,Objekt32,Objekt33,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,"'Zur Farbenlehre', Tafel X, gut kolorierter Abzug; Erläuterungen siehe GFz 280 und 281.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objekt,object,Objekt35,vsr.mww-forschung.de/resources/goethedigital_farbenlehre_id-objekt35,Klassik Stiftung Weimar,6045529-9,d-nb.info/gnd/6045529-9,Goethe-Nationalmuseum,2049358-7,d-nb.info/gnd/2049358-7,,,GFz 283,Inventarnummer,GFz283,1810,1810,,,,,1810,,,,"Goethe, Johann Wolfgang von",118540238,Künstler*in,d-nb.info/gnd/118540238,id/graphic/actor/gnd_118540238/Artist,artist,/id/graphic/GFz283/production,,"Müller, Johann Christian Ernst",117592579,Kupferstecher*in,d-nb.info/gnd/117592579,id/graphic/actor/gnd_117592579/Engraver,engraver,/id/graphic/GFz283/production,,,,,,,,,,,,,,,,,,"'Zur Farbenlehre', Tafel X, nicht kolorierter Abzug",Weimar,,,7012886,http://vocab.getty.edu/page/tgn/7012886,,,"20,9 cm","17,1 cm",,,1 Blatt,Kupferstich,,,,,Grafik,graphic,Physische Farben,,,,,,,,/id/subject/PhysischeFarben,,,,,,,,Nachlass Johann Wolfgang von Goethe,,,,,,,,,"Zur Farbenlehre, Erster Band, Erster, didaktischer Theil. Entwurf einer Farbenlehre","Zur Farbenlehre, Tafelband, Tafel X",1214403700,1214404014,,,,,,ist Version von,hat Bezug zu,,,,,,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,ist Version von,basiert auf,,,,,,Objekt36,Objekt37,Objekt38,Objekt39,Objekt40,Objekt41,Objekt34,,,,,,Forschungssammlung Goethes Farbenlehre,,,1196740259,,,Dies ist ein nicht kolorierter Abzug von Tafel X. Vermutlich handelt es sich um einen Probedruck für die endgültige Illustration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
